data,ipca_monitor_0,var_ipc_fipe,ipca_monitor_11,ipca_focus,ipca_monitor_1,consu_energia_residencia_log_1_diff_lag2,var_ipc_br,var_ipca_15,ipca_monitor_5,BRL_USD_log_1_diff_lag4,var_livres_bacen_lag1,consu_energia_comercial_log_1_diff_lag1,U_S__Treasury_10_years_nominal_yield_1_diff,consu_energia_outros_log_1_diff_lag4,caged_saldo_nordeste_1_diff_lag1,PNAD_DESOC_2_diff_lag1,consume_confidence_1_diff_lag3,U_S__Treasury_10_years_nominal_yield_1_diff_lag2,consu_energia_brasil_total_log_1_diff_lag1,consu_energia_brasil_total_log_1_diff_lag3,BRL_USD_log_1_diff_lag3,PNAD_DESOC_2_diff_lag3,DXY_log_1_diff_lag4,NOAA_Index_1_diff,BRL_USD_log_1_diff,consu_energia_outros_log_1_diff_lag3,PNAD_DESOC_2_diff_lag4,caged_saldo_nordeste_1_diff_lag3,caged_saldo_nordeste_1_diff_lag2,var_livres_bacen_lag4,var_ipca_bacen
2015-04-01,0.71,1.1,0.97,0.72,0.97,-0.063954734,0.61,1.07,0.11,0.036333675,0.7,-0.022753826,0.1086,-0.026216335,8390,0.5,-0.26,0.3523,-0.023858583,0.022830909,-0.004260382,0.3,0.016220859,0.2,-0.034013095,0.030938522,0.0,19016,4483,0.88,0.71
2015-05-01,0.74,0.62,1.61,0.56,1.37,-0.059638266,0.72,0.6,-0.29,-0.004260382,0.69,-0.000126462,0.0897,0.030938522,-25339,0.1,0.2,-0.0699,-0.004082873,-0.000957325,0.067385947,0.6,0.041518867,0.2,0.006636242,0.005637347,0.3,4483,8390,0.87,0.74
2015-06-01,0.79,0.47,0.7,0.79,0.63,-0.018919975,0.82,0.99,0.7,0.067385947,0.59,-0.07114518,0.2317,0.005637347,9674,0.1,-6.03,0.1086,-0.035865488,-0.023858583,0.10985167,0.5,0.015838168,0.3,0.015669209,-0.038359123,0.6,8390,-25339,0.88,0.79
2015-07-01,0.62,0.85,0.59,0.59,0.65,-0.032477659,0.53,0.59,0.15,0.10985167,0.69,-0.040318545,-0.173,-0.038359123,16214,0.2,-5.3,0.0897,-0.024860157,-0.004082873,-0.034013095,0.1,0.036166829,0.3,0.036561468,-0.00032457,0.5,-25339,9674,0.7,0.62
2015-08-01,0.22,0.56,-0.32,0.25,-0.01,-0.041545554,0.22,0.43,-0.27,-0.034013095,0.45,-0.033643196,0.0378,-0.00032457,-6575,0.3,-9.79,0.2317,-0.01209518,-0.035865488,0.006636242,0.1,-0.003617135,0.4,0.085710839,-0.031994813,0.1,9674,16214,0.69,0.22
2015-09-01,0.54,0.66,-0.05,0.51,0.24,-0.000197785,0.42,0.39,0.71,0.006636242,0.19,0.034208567,-0.1811,-0.031994813,26057,0.1,-1.19,-0.173,0.027936199,-0.024860157,0.015669209,0.2,-0.024013828,0.3,0.105510574,-0.010953012,0.1,16214,-6575,0.59,0.54
2015-10-01,0.82,0.88,0.68,0.79,0.77,0.019781295,0.76,0.66,1.72,0.015669209,0.42,0.011799547,0.1053,-0.010953012,25225,0.2,-6.03,0.0378,-0.000449135,-0.01209518,0.036561468,0.3,-0.000784555,0.2,-0.00590829,0.002031145,0.2,-6575,26057,0.69,0.82
2015-11-01,1.01,1.06,2.46,0.92,1.83,0.01195195,1.0,0.85,1.08,0.036561468,0.64,0.063569262,0.0639,0.002031145,-43748,0.0,0.11,-0.1811,0.037219509,0.027936199,0.085710839,0.1,0.018436537,0.2,-0.027533614,0.044319422,0.3,26057,25225,0.45,1.01
2015-12-01,0.96,0.82,1.96,1.01,1.5,0.064556486,0.88,1.18,1.36,0.085710839,0.98,0.020750323,0.0634,0.044319422,1681,0.1,0.87,0.1053,-0.001324807,-0.000449135,0.105510574,0.2,-0.005557474,0.0,0.025771028,0.0096588,0.1,25225,-43748,0.19,0.96
2016-01-01,1.27,1.37,2.89,1.08,2.28,-8.98e-05,1.78,0.92,1.77,0.105510574,1.1,0.007799055,-0.3485,0.0096588,-52058,0.0,3.24,0.0639,-0.014250193,0.037219509,-0.00590829,0.0,-0.006519738,-0.1,0.045218971,0.024215791,0.2,-43748,1681,0.42,1.27
2016-02-01,0.9,0.89,1.28,0.96,1.06,-0.004321217,0.76,1.42,0.62,-0.00590829,1.12,-0.011657085,-0.1862,0.024215791,34596,0.5,-3.22,0.0634,-0.006980605,-0.001324807,-0.027533614,0.1,-1.64e-05,-0.4,-0.019594727,0.00530257,0.0,1681,-52058,0.64,0.9
